id,price,license,model,fuel,cc,registration_date,license_changed,owner_changed,total_loss,flood,theft,damaged_count,damaged_total,damaged_by_other_count,damaged_by_other_total,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38518579,199,31소7885,베르나 트랜스폼,가솔린,1399cc,2009/12/15,0,0,0,0,0,5,2254380,0,0,-,보험사보증,"183,841km",없음,없음,없음,없음,있음
38626315,179,22나6057,라세티 프리미어,가솔린,1598cc,2008/12/12,0,1,0,0,0,0,0,0,0,오토,보험사보증,"151,814km",없음,없음,없음,없음,있음
38567660,799,43어3558,레이,가솔린,998cc,2014/06/11,1,5,0,0,0,1,861683,0,0,-,자가보증,"77,051km",없음,없음,없음,없음,있음
38560614,750,61어2143,그랜저 HG,가솔린,2999cc,2013/01/18,0,7,0,0,0,4,6758648,4,2430550,오토,자가보증,"87,201km",없음,없음,없음,없음,있음
38511639,580,275보3590,SM3 네오,가솔린,1598cc,2019/06/24,1,2,0,0,0,1,521560,0,0,오토,보험사보증,"30,500km",없음,없음,없음,있음,있음
38478029,900,59머3831,SM6,가솔린,1997cc,2016/06/07,1,6,0,0,0,3,3683449,0,0,오토,자가보증,"88,000km",없음,없음,없음,없음,있음
38636779,580,31노3777,QM5 네오,디젤,1995cc,2014/04/01,0,1,0,0,0,1,1056264,0,0,오토,자가보증,"111,418km",없음,없음,없음,없음,있음
38064952,650,53무5119,레이,가솔린,998cc,2011/12/19,0,5,0,0,0,2,1886210,1,243500,오토,보험사보증,"98,647km",없음,없음,없음,없음,없음
38254020,990,319보7681,티볼리 아머,디젤,1597cc,2019/04/29,1,2,0,0,0,0,0,0,0,오토,보험사보증,"86,453km",없음,없음,있음 / 렌트,없음,있음
38633370,270,31보1008,올 뉴 모닝,가솔린,998cc,2011/06/30,1,2,0,0,0,3,1306856,4,3559587,오토,보험사보증,"164,294km",없음,없음,없음,없음,있음
38546657,2150,48가7983,더 뉴 카니발,디젤,2199cc,2018/11/08,0,2,0,0,0,0,0,0,0,오토,보험사보증,"67,079km",없음,없음,없음,없음,없음
38327143,890,경기71가7881,갤로퍼 2,가스,2972cc,1999/03/24,0,1,0,0,0,0,0,0,0,수동,자가보증,"42,306km",없음,없음,없음,없음,없음
38420198,1080,115호4718,쏘나타 뉴 라이즈,가스,1999cc,2021/10/29,2,2,0,0,0,1,11001609,0,0,오토,자가보증,"58,993km",없음,없음,있음 / 렌트,있음,있음
38474080,3720,58구9147,EV6,전기,111cc,2021/10/07,0,0,0,0,0,1,1402231,0,0,오토,자가보증,"46,196km",없음,없음,없음,없음,없음
38560660,399,24누1170,YF 쏘나타,가솔린,1998cc,2010/01/05,0,2,0,0,0,6,3445348,3,786390,오토,보험사보증,"156,102km",없음,없음,없음,없음,있음
36265960,290,66어4246,뉴SM5(신형),가스,1998cc,2011/06/07,1,2,0,0,0,1,352808,0,0,오토,보험사보증,"154,457km",없음,없음,있음 / 렌트,없음,없음
38413572,380,58저7588,올 뉴 모닝,가솔린,998cc,2011/03/02,0,0,0,0,0,0,0,0,0,오토,보험사보증,"71,949km",없음,없음,없음,없음,없음
38371912,290,67너4916,스파크,가솔린,995cc,2012/04/06,0,5,0,0,0,2,1718925,1,923991,오토,보험사보증,"151,452km",없음,없음,없음,없음,있음
38391025,340,57저3523,NF 쏘나타 트랜스폼,가솔린,1998cc,2009/05/20,0,3,0,0,0,0,0,1,345480,오토,보험사보증,"114,283km",없음,없음,없음,없음,없음
38371295,2350,125루9985,K7 프리미어,가솔린,2497cc,2019/09/25,1,2,0,0,0,0,0,0,0,오토,보험사보증,"68,103km",없음,없음,있음 / 렌트,없음,없음
38571232,1320,66라8379,올 뉴 쏘렌토,디젤,2199cc,2015/05/22,0,1,0,0,0,1,3005470,2,1465930,오토,보험사보증,"129,478km",없음,없음,없음,없음,있음
38245648,800,366나2068,QM3,디젤,1461cc,2017/05/24,1,4,0,0,0,0,0,0,0,오토,보험사보증,"99,243km",없음,없음,있음 / 렌트,없음,없음
38387264,1800,04부1835,올 뉴 투싼,디젤,1995cc,2018/02/05,0,3,0,0,0,4,4342482,3,3367874,오토,보험사보증,"78,058km",없음,없음,없음,없음,없음
38572889,1600,45서7596,QM6,가솔린,1997cc,2018/02/09,0,1,0,0,0,1,439568,0,0,오토,보험사보증,"69,136km",없음,없음,없음,없음,없음
38632806,1700,257오9352,캐스퍼,가솔린,998cc,2023/07/12,0,1,0,0,0,0,0,0,0,오토,자가보증,"12,754km",없음,없음,없음,없음,없음
38050227,3200,194무3924,더 뉴 그랜저 IG,가솔린,2497cc,2020/05/07,1,2,0,0,0,0,0,0,0,-,자가보증,"38,900km",없음,없음,있음 / 렌트,없음,없음
38630372,300,02마3723,더 뉴 아반떼,디젤,1582cc,2014/03/11,1,3,0,0,0,0,0,1,1542000,오토,보험사보증,"199,342km",없음,없음,없음,있음,있음
38629313,250,64라3153,QM5,디젤,1995cc,2008/07/01,0,0,0,0,0,2,4204606,2,1221138,-,보험사보증,"172,951km",없음,없음,없음,없음,있음
38505742,3300,183모3215,더 뉴 그랜저 IG 하이브리드,하이브리드,2359cc,2021/08/25,0,2,0,0,0,1,437240,0,0,오토,자가보증,"51,807km",없음,없음,없음,없음,없음
38297979,3500,154버9553,투싼 하이브리드 (NX4),하이브리드,1598cc,2022/05/02,0,2,0,0,0,0,0,0,0,-,자가보증,"13,590km",없음,없음,없음,없음,없음
38451980,1150,161우8762,모닝 어반 (JA),가솔린,998cc,2021/02/24,0,1,0,0,0,0,0,0,0,오토,자가보증,"45,613km",없음,없음,없음,없음,없음
38452830,1900,140호6770,올 뉴 투싼,디젤,1598cc,2020/06/08,0,0,0,0,0,0,0,1,700000,오토,자가보증,"66,650km",없음,없음,있음 / 렌트,없음,없음
38630349,5350,303루7443,GV70,가솔린,2497cc,2022/06/10,0,2,0,0,0,0,0,0,0,오토,자가보증,"12,915km",없음,없음,없음,없음,없음
38520421,1650,231루9013,캐스퍼,가솔린,998cc,2022/11/08,0,1,0,0,0,0,0,0,0,오토,자가보증,"25,685km",없음,없음,없음,없음,없음
38439503,4800,221마6779,싼타페 (MX5),가솔린,2497cc,2024/05/20,0,0,0,0,0,0,0,0,0,-,자가보증,"6,806km",없음,없음,없음,없음,없음
38629235,400,16더8456,올 뉴 모닝,가솔린,998cc,2012/04/25,0,0,0,0,0,2,1374876,1,424985,-,보험사보증,"159,317km",없음,없음,없음,없음,있음
38490252,1400,45루0703,올 뉴 쏘렌토,디젤,1995cc,2015/10/05,0,5,0,0,0,6,2730805,1,389839,오토,보험사보증,"153,481km",없음,없음,없음,없음,있음
38268270,1100,120소9994,모닝 어반 (JA),가솔린,998cc,2021/04/16,0,0,0,0,0,0,0,0,0,오토,자가보증,"42,290km",없음,없음,없음,없음,없음
38562848,2400,107가3156,더 뉴 QM6,가스,1998cc,2021/09/10,0,1,0,0,0,0,0,0,0,오토,자가보증,"24,272km",없음,없음,없음,없음,없음
38341482,2550,811버8347,더 뉴 렉스턴 스포츠 칸,디젤,2157cc,2022/01/17,0,2,0,0,0,0,0,0,0,오토,자가보증,"65,519km",없음,없음,없음,없음,없음
38050241,3100,142주5944,더 뉴 그랜저 IG,가솔린,2497cc,2020/05/25,1,4,0,0,0,1,1528014,0,0,-,자가보증,"29,630km",없음,없음,없음,없음,없음
