Car ID,차량번호,최초등록일,변속기종류,사용연료,주행거리(km),주행거리 계기상태,차대번호표기,튜닝,특별이력,용도변경,배출가스,리콜대상,차명,연식
38564197,394고7923,2020/07/29,오토,가솔린,"31,745km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 5ppm,해당 / 미이행,G80 (RG3),2021년식
38402521,152마6666,2020/05/26,오토,가솔린,"73,939km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당 / 이행,G80,2020년식
38509443,366주3332,2015/08/21,오토,가솔린,"140,637km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.2% / 탄화수소: 22ppm,해당없음,더 뉴 모닝,2016년식
38234740,173두3839,2020/04/14,-,가솔린,"37,396km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 1ppm,해당없음,올 뉴 K3,2020년식
38193715,200두9624,2017/07/31,오토,디젤,"153,224km",양호,양호,없음,없음,있음 / 렌트,매연: -%,해당 / 미이행,스포티지 4세대,2018년식
38415963,07누7798,2018/03/29,오토,가솔린,"47,721km",양호,양호,없음,없음,없음,일산화탄소: 0.14% / 탄화수소: 7ppm,해당없음,G80,2018년식
38434454,59마5999,2015/07/07,-,디젤,"111,609km",양호,양호,없음,없음,없음,매연: 8%,해당 / 미이행,캡티바,2015년식
37778843,316너8487,2021/06/21,-,가솔린+전기,"19,016km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: 1ppm,해당없음,K5 하이브리드 3세대,2021년식
38195540,25저4235,2019/04/26,오토,가솔린,"57,171km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 5ppm,해당없음,QM6,2019년식
38419970,302더6484,2020/03/23,오토,가솔린,"133,123km",양호,양호,없음,없음,없음,일산화탄소: 0.10% / 탄화수소: 0.15ppm,해당없음,더 뉴 QM6,2020년식
38146100,163수7252,2021/07/13,-,가솔린,"46,353km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.10% / 탄화수소: 10ppm,해당,GV70,2021년식
38447194,178하4336,2020/08/19,오토,디젤,"133,210km",양호,양호,없음,없음,있음 / 렌트,매연: -%,해당 / 이행,올 뉴 투싼,2020년식
37420824,83모0742,2017/04/04,오토,디젤,"101,255km",양호,양호,없음,없음,없음,매연: 0%,해당없음,더 뉴 코란도 스포츠,2017년식
38589155,327머5696,2022/04/22,-,가솔린,"95,027km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 55ppm,해당없음,G80 (RG3),2022년식
38269387,12우0646,2016/04/05,-,가솔린,"126,661km",양호,양호,없음,없음,없음,일산화탄소: 0.15% / 탄화수소: 19ppm,해당없음,말리부,2016년식
38012957,68라1446,2017/12/13,-,디젤,"44,241km",양호,양호,없음,없음,없음,매연: 0%,해당 / 이행,더 뉴 트랙스,2018년식
38553872,69구3256,2013/05/02,-,가솔린,"136,000km",양호,양호,없음,없음,없음,일산화탄소: 1% / 탄화수소: 2ppm,해당 / 이행,더 뉴 K7,2013년식
