id,price,car_number,registration_date,transmission,fuel_type,mileage,mileage_condition,chassis_number,tuning,special_history,usage_change,emission_gas,recall,car_name,year
38001407,999,51로6542,2013/01/02,-,가솔린,"72,067km",양호,양호,없음,없음,없음,일산화탄소: 0.17% / 탄화수소: 19ppm,해당없음,그랜저 HG,2013년식
38439771,4390,162오1504,2022/12/14,-,가솔린,"8,088km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,GV70,2023년식
38483118,3470,334머3931,2020/11/10,오토,디젤,"78,967km",양호,양호,없음,없음,없음,매연: 0%,해당없음,카니발 4세대,2021년식
38257876,2190,07무5454,2017/05/18,-,가솔린,"120,315km",양호,양호,없음,없음,없음,일산화탄소: 0.04% / 탄화수소: 3ppm,해당 / 미이행,G80,2018년식
38607745,500,14보9321,2014/12/09,오토,가솔린,"79,183km",양호,양호,없음,없음,없음,일산화탄소: 0.21% / 탄화수소: 57ppm,해당 / 이행,뉴SM5 플래티넘,2014년식
38452789,2520,257로5828,2019/12/02,-,디젤,"80,660km",양호,양호,없음,없음,없음,매연: 0%,해당없음,더 뉴 카니발,2020년식
38618516,2950,152머9711,2020/09/14,-,가솔린,"66,282km",양호,양호,없음,없음,없음,일산화탄소: 0.05% / 탄화수소: 5ppm,해당없음,더 뉴 그랜저 IG,2020년식
38287496,2950,104더4891,2019/10/14,-,가솔린,"79,100km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 2ppm,해당없음,팰리세이드,2019년식
38444997,2740,254모3850,2020/12/04,오토,디젤,"103,790km",양호,양호,없음,없음,없음,매연: 3%,해당 / 미이행,더 뉴 싼타페,2021년식
38467738,220,27저4334,2011/05/06,오토,가솔린,"176,553km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,크루즈,2011년식
38286928,850,27마5104,2017/02/21,-,가솔린,"131,299km",양호,양호,없음,없음,없음,일산화탄소: 0.45% / 탄화수소: 1.3ppm,해당없음,올 뉴 말리부,2017년식
38245331,2040,231러2970,2020/09/03,오토,가솔린,"58,319km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 0.1ppm,해당없음,K5 3세대,2020년식
38316886,530,60무9325,2012/07/11,오토,가솔린,"144,887km",양호,양호,없음,없음,없음,일산화탄소: 0.10% / 탄화수소: 13ppm,해당없음,레이,2013년식
38546333,4450,222소9870,2021/10/15,오토,가솔린,"32,266km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 6ppm,해당없음,G80 (RG3),2022년식
38629577,4050,287소3263,2020/05/18,오토,가솔린,"59,784km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 5ppm,해당없음,G80 (RG3),2021년식
38592798,479,32구5712,2013/11/01,오토,가솔린,"177,020km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 29ppm,해당 / 이행,그랜저 HG,2014년식
38556516,930,72라5517,2010/12/15,오토,디젤,"247,353km",양호,양호,있음 / 적법 / 구조,없음,없음,매연: 7.0%,해당없음,그랜드 스타렉스,2011년식
38045025,2220,276어3034,2022/01/21,오토,가솔린,"75,940km",양호,양호,없음,없음,없음,일산화탄소: 0.2% / 탄화수소: 1ppm,해당없음,쏘나타 (DN8),2022년식
38214691,1680,330어1434,2020/12/23,오토,가솔린,"39,238km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 0.1ppm,해당없음,XM3,2020년식
38363978,480,59저8300,2010/10/29,-,가솔린,"45,101km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 0.1ppm,해당없음,뉴SM5(신형),2010년식
38458705,3350,156오7184,2024/03/08,오토,가솔린+전기,"2,069km",양호,양호,없음,없음,없음,일산화탄소: 0.0% / 탄화수소: 2ppm,해당없음,코나 하이브리드 (SX2),2025년식
38604642,2360,149로2857,2020/11/20,오토,가솔린,"24,377km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 2ppm,해당없음,셀토스,2021년식
38422490,1420,158라3853,2017/03/28,오토,가솔린,"111,427km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.10% / 탄화수소: 12ppm,해당 / 이행,그랜저 IG,2018년식
38080014,940,38구0601,2016/03/31,-,가솔린,"110,204km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 0.1ppm,해당없음,아반떼 AD,2016년식
37970486,420,50너2366,2013/09/09,오토,가솔린,"102,819km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 10ppm,해당,뉴SM3,2014년식
38579390,830,50주3150,2015/04/13,오토,가솔린,"67,500km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,레이,2016년식
38411171,550,43루0715,2016/05/18,오토,가솔린,"163,633km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,SM6,2016년식
38353938,1530,180오7189,2022/10/20,-,가솔린,"91,510km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.01% / 탄화수소: 1ppm,해당없음,캐스퍼,2023년식
38512305,2990,193무2304,2020/09/17,오토,가솔린+전기,"153,600km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.13% / 탄화수소: 3ppm,해당없음,쏘렌토 4세대,2021년식
37710536,1780,98오1138,2017/07/20,오토,디젤,"76,341km",양호,양호,없음,없음,없음,매연: 1%,해당없음,그랜드 스타렉스,2018년식
38448190,1570,172구1416,2019/05/24,오토,디젤,"보통 / 107,509km",양호,양호,없음,없음,있음 / 렌트,매연: 3%,해당없음,더 뉴 쏘렌토,2020년식
38572268,1850,120구9549,2022/07/26,오토,가솔린,"103,630km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 2ppm,해당없음,아반떼 (CN7),2023년식
37556650,890,36조6794,2015/10/16,-,가솔린,"93,234km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 4ppm,해당없음,K3,2015년식
38474417,2960,123러6248,2022/09/15,오토,가솔린,"11,656km",양호,양호,없음,없음,없음,일산화탄소: 1% / 탄화수소: 1ppm,해당없음,투싼 (NX4),2023년식
38512211,3090,230소5854,2019/10/01,오토,가솔린,"136,580km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.14% / 탄화수소: 3ppm,해당없음,G90,2019년식
38206658,1050,86버7530,2016/10/10,-,디젤,"164,473km",양호,양호,없음,없음,없음,매연: 0%,해당없음,더 뉴 코란도 스포츠,2017년식
38018386,520,12저0634,2016/01/06,오토,가솔린,"88,277km",양호,양호,없음,없음,없음,일산화탄소: 2% / 탄화수소: 3ppm,해당없음,어메이징 뉴 크루즈,2016년식
38487912,1349,116모8129,2013/12/31,오토,가솔린,"7,821km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 23ppm,해당없음,제네시스 DH,2014년식
38493473,1190,52라7391,2017/06/20,오토,디젤,"119,196km",양호,양호,없음,없음,없음,매연: 2.1%,해당없음,스포티지 4세대,2018년식
38412314,499,38러6519,2012/06/26,오토,가솔린,"135,085km",양호,양호,없음,없음,없음,일산화탄소: 0.10% / 탄화수소: 11ppm,해당없음,아반떼 MD,2012년식
37529166,499,55노0549,2016/02/23,오토,가솔린,"61,395km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,더 넥스트 스파크,2016년식
38496282,980,21보8459,2013/07/18,오토,디젤,"125,787km",양호,양호,없음,없음,없음,매연: 1%,해당없음,싼타페 DM,2014년식
38598997,3770,140호7490,2022/04/07,오토,가솔린+전기,"14,578km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,더 뉴 그랜저 IG 하이브리드,2022년식
38601636,3870,139무4744,2022/02/25,오토,디젤,"43,738km",양호,양호,없음,없음,없음,매연: 2%,해당없음,카니발 4세대,2022년식
38439792,2360,173머5737,2021/05/26,오토,LPG(일반인 구입),"65,275km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.05% / 탄화수소: 5ppm,해당없음,K8,2022년식
37554989,1860,343다4046,2019/10/10,오토,가솔린,"88,733km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.04% / 탄화수소: 1ppm,해당없음,셀토스,2020년식
38039281,3420,321두5497,2020/06/16,오토,가솔린+전기,"71,520km",양호,양호,없음,없음,없음,일산화탄소: 0.06% / 탄화수소: 2ppm,해당 / 이행,쏘렌토 4세대,2021년식
38352445,3240,354라1218,2022/02/10,오토,가솔린+전기,"38,956km",양호,양호,없음,없음,없음,일산화탄소: 0.04% / 탄화수소: 1ppm,해당없음,스포티지 5세대 하이브리드,2022년식
38612140,6790,201머5736,2023/02/07,오토,가솔린,"15,670km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 1ppm,해당 / 이행,GV80,2023년식
