ID,N,NC,OC,TL,FD,TF,CM,CO
38095868,323러1958,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
36707232,81나6474,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,928,776원","3회/5,484,655원"
38554342,140누2637,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38332128,66두9639,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회3,912,470원",없음
38628129,53러3278,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회527,140원","3회/6,182,890원"
38426852,02버5590,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,573,119원",없음
38611901,134주8331,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38411934,67거8981,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회656,290원","1회/1,923,621원"
38080014,38구0601,0회,8회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회6,939,319원","2회/1,863,163원"
38496282,21보8459,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회3,779,552원","3회/1,856,390원"
38386331,38라2150,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회721,303원",없음
37335144,34라6019,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37453254,158조1901,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회873,740원","3회/5,751,159원"
38140287,28가3482,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회545,741원","1회/1,980,000원"
38495991,63도0433,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/594,990원"
38168296,278로1026,1회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38376183,51러0458,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,259,533원","1회/748,800원"
38205446,25소8189,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,025,706원",없음
37777943,61모8503,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,486,533원","1회/1,038,118원"
37755104,216버6356,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,509,311원",1회/미확정
38621140,134주8331,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38457792,327도7127,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,898,313원"
38412314,38러6519,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,483,067원",없음
38392880,179보7014,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38261096,46고9883,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,609,017원","1회/585,797원"
38286565,150모8054,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회5,917,857원",없음
37589449,51우3754,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회632,698원",없음
38403396,21소8997,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37756274,386나6119,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회533,566원",없음
37892675,127마6679,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,414,562원",없음
37712159,327모3843,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,050,738원","1회/923,519원"
38231580,391우2858,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,575,100원","5회/4,762,136원"
38464609,139누6056,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,038,936원",없음
38402359,72보1258,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회284,690원",없음
37655594,38머2668,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회9,374,373원","3회/5,662,455원"
38311960,181수2595,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38362037,398소7318,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,189,000원","1회/434,919원"
38095816,60수3837,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38432502,25노0397,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,036,170원","3회/1,252,270원"
38422490,158라3853,1회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회5,903,700원",없음
37515797,57고4817,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"8회8,850,787원","6회/7,711,588원"
38338687,56고0821,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회665,317원",없음
38217749,06두9691,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,694,662원","1회/4,351,550원"
38445109,327도7127,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,898,313원"
38086604,72로6139,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,802,909원","2회/2,115,418원"
38186738,184러3752,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38425248,23로5151,0회,7회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회5,489,824원","1회/714,986원"
37320482,22마7312,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,417,400원","3회/1,758,330원"
34857097,39두6622,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회426,510원",없음
38417101,168누1060,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"2회/2,455,108원"
38510636,250우5390,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,391,780원",없음
38550579,07구3138,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,630,260원","2회/3,639,334원"
38496717,33거7557,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,664,572원","1회/1,562,838원"
38387803,389주3364,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38557943,87루1648,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,2회미확정,없음
37671826,28오0230,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회8,734,988원","4회/3,810,825원"
38273043,378누4143,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38592798,32구5712,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,654,281원","1회/692,278원"
38307857,134우7959,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38567896,187어9707,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38269185,37나7494,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,108,205원","4회/2,131,646원"
35822162,48무8574,1회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,571,696원","1회/427,120원"
37738070,222수7473,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38496575,231모7158,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,826,250원",없음
37593674,100더8169,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38349404,152마6620,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,614,389원","1회/600,000원"
38272592,67주0553,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회2,619,807원","3회/1,611,919원"
38618656,58소5487,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,456,002원","2회/716,936원"
38096408,95루0522,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회6,815,414원","2회/1,620,000원"
38618478,819루4775,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38398713,02버4038,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38429100,14오2655,0회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,856,946원",없음
38001815,81로3634,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,795,207원","1회/292,270원"
38047548,257수7470,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회394,750원",없음
38205700,184러3752,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37752619,230가9864,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,1회/미확정
38496281,72서6417,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38039733,222마6603,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38003208,63두8298,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,997,449원","3회/2,781,741원"
38400983,137거3269,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38159659,49라2343,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회646,183원",없음
38175835,38다8830,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회410,130원",없음
37452338,158조1901,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회873,740원","3회/5,751,159원"
37710552,19무7276,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회3,532,711원","1회/540,610원"
38276714,68수5739,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회4,174,160원","2회/2,253,606원"
38417729,04더5525,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,313,287원","3회/3,033,526원"
38475413,57주8021,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,225,840원","1회/739,700원"
38570770,184모8827,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회42,750원","1회/400,919원"
