Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
37727978,19두9410,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38417147,49마2711,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38450195,63부5625,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37982397,148루6783,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38290543,137모3911,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,961,399원",없음
37135371,32다2229,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,395,860원",없음
38371461,91거3915,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38447624,96더8493,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회633,340원",없음
38225670,181머9880,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38290142,08두3110,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회869,170원",없음
38341640,230나5382,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,701,800원","1회/305,320원"
38507989,388누5808,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회495,000원",없음
38108527,225소3224,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/524,370원"
38314252,177두8017,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/3,380,000원"
38580921,33라3753,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38130442,36가4547,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회9,135,163원",없음
37926114,65버1496,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38256616,09더6566,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회977,160원","2회/488,160원"
38616885,52도8110,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"9회15,657,578원","1회/551,240원"
37968731,68오5428,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회11,160,921원","6회/5,742,118원"
37990609,68노0331,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,677,600원",없음
37590211,131다7418,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회4,029,280원","1회/2,452,000원"
38484445,359러2749,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/788,980원"
37862974,43오4679,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회3,662,540원","2회/1,063,250원"
38414982,58고3869,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회3,019,060원","2회/1,331,882원"
38582626,329로8348,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38213817,12오1484,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회718,704원","3회/1,484,150원"
37779138,64부7628,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회3,289,586원","1회/825,680원"
38543613,124보5474,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,388,166원",없음
38168247,17도0850,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회790,300원",없음
