Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
38307423,186부6149,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,1회/미확정
38434224,226구7068,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,251,641원"
38488177,384나6975,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37777963,150라3759,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38539955,322서1785,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회952,110원",없음
36768728,32너4586,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/400,000원"
38515972,349머4837,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38472696,06조4296,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,117,132원",없음
38548498,126도1524,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38406475,348나8563,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,291,960원",없음
38334763,190어8964,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
38474269,172노1949,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회304,808원",없음
38346468,16나4549,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회3,103,759원","1회/538,578원"
38009721,60보7804,1회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,829,131원","1회/890,000원"
38354300,169호3205,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38606376,140하1039,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,571,400원",없음
37962443,15우3606,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회1,788,264원","2회/774,508원"
38454566,229호5345,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38474232,248부1825,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,687,130원"
37068401,127구4715,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회7,430,894원","2회/1,729,582원"
38097033,368다8144,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회456,300원","4회/18,520,718원"
38625427,213어9747,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회413,921원",없음
38214838,236나4790,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/1,170,720원"
38500955,395루9057,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회3,088,698원",없음
38096301,368다8144,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회456,300원","4회/18,520,718원"
38395671,181우6334,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38095546,258두1269,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회728,547원",없음
38611938,383무4634,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회526,840원",없음
38321363,112로2816,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회694,656원",없음
38342238,38구0625,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회842,360원","1회/801,420원"
