Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
38222936,05거2928,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회5,288,929원","3회/2,858,704원"
38314128,18러0527,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회2,107,911원","1회/751,416원"
38282894,280버2037,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,780,342원",없음
38377854,350오4681,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,150,737원","2회/1,457,265원"
37813598,36무8193,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회17,299,421원","2회/9,588,704원"
38252155,376가3281,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38503716,113루4214,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회636,244원",없음
37987378,175구8057,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38421022,386보8479,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,223,186원",없음
38278231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38529508,286가5700,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38490395,07러3902,0회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,392,850원","1회/9,108,690원"
38607266,273누8284,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회7,063,000원","1회/1,299,948원"
38420883,33오0491,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,304,709원","1회/453,338원"
38587464,153소8282,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,136,213원","1회/672,339원"
38589155,327머5696,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회7,000,560원","2회/1,261,480원"
38579752,238모7926,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
36978745,377어2244,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38607872,160호2726,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38579024,151도1655,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,003,569원",없음
38496320,172호4346,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,538,872원",없음
38260510,08더1745,0회,7회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회898,718원","2회/687,258원"
38320815,245소6666,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,1회/미확정
37451703,206러4554,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회3,207,464원",없음
38311075,312버6995,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회3,890,510원","1회/1,862,031원"
37542660,183거4144,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38366721,176두1546,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/459,340원"
38503826,159가5086,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38378437,238어5649,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,803,175원",없음
