Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
38574625,228보4326,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,792,240원","1회/442,480원"
38423512,321도5597,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"2회/756,044원"
38332191,16더2724,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,173,530원",없음
38487182,152도2258,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38027544,45너2606,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38388435,333루6550,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38516529,334무2011,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회10,373,490원","1회/1,080,900원"
38577658,02더7363,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회469,953원","1회/930,207원"
38110943,01라8889,2회,10회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38520851,24노7559,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,250,366원","1회/442,250원"
38301461,308오5494,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38039636,117부4560,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,400,278원","1회/1,096,831원"
38394691,48어5755,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,097,090원","2회/1,896,190원"
38169259,36수6281,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회1,174,847원","1회/286,938원"
38359313,255더8823,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38282077,808도9088,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38270007,32가2596,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회6,639,170원","2회/4,959,910원"
38339312,162마4148,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,058,079원","1회/560,449원"
