Vehicle ID,Car Number,Number Change History,Owner Change History,Total Loss History,Flood Damage History,Theft History,Insurance Claim (My Car),Insurance Claim (Other Car)
38623495,235오2159,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37310300,37두4950,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,208,938원","2회/2,126,240원"
38623525,279구3763,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38425489,189로6998,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38595866,213어9742,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38429798,225다1696,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,069,000원","1회/1,805,840원"
38356850,62무1768,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,140,533원",없음
37731767,32보0624,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회6,916,753원","5회/3,115,229원"
38568055,24더1406,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회5,750,623원","6회/6,259,158원"
38508535,824더3630,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38589035,294다6535,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37433401,11머2172,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37906779,07부1641,1회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,612,950원","1회/234,368원"
38583696,205다2507,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회456,839원",없음
38554243,179서3544,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회689,469원",없음
38531460,29노8579,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회9,354,250원",없음
38495264,63러0294,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38429748,806구5654,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/269,449원"
38463065,808버1967,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38475268,348라1296,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회6,532,800원",없음
37916152,65무3160,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회4,157,504원",없음
38289842,131무6318,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,093,282원","1회/1,418,033원"
38158514,248주5258,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38356512,807도9775,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/332,650원"
37944712,825어7990,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37294393,237러1355,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,016,180원",없음
38296351,61고8662,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회372,290원","4회/2,329,118원"
38450749,174오7172,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,1회미확정,없음
37259730,42다6692,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회2,757,780원","1회/8,789,660원"
38306527,200마5843,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
