id,n,model,fuel,cc,date,nc,oc,tl,fd,tf,cm_num,cm_price,co_num,co_price,price,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38495778,62우8691,올 뉴 모닝,가솔린,998cc,2011/07/08,0,7,0,0,0,3,1566560,0,0,360,-,보험사보증,"76,483km",없음,없음,없음,있음,있음
38571630,205다2531,캐스퍼,가솔린,998cc,2021/11/04,1,2,0,0,0,1,685568,0,0,1490,오토,보험사보증,"53,292km",없음,없음,있음 / 렌트,없음,있음
38207612,39더7577,코나,디젤,1582cc,2017/10/16,0,2,0,0,0,1,1044710,2,2862740,1430,오토,보험사보증,"85,241km",없음,없음,없음,없음,없음
38285193,801조6184,스타리아,디젤,2199cc,2022/01/11,0,1,0,0,0,0,0,2,960728,2830,오토,보험사보증,"20,674km",없음,없음,없음,없음,없음
38476203,152마6679,카니발 4세대,디젤,2151cc,2020/09/17,1,1,0,0,0,0,0,0,0,2800,오토,보험사보증,"72,006km",없음,없음,있음 / 렌트,없음,없음
38300816,28서0532,LF 쏘나타,디젤,1685cc,2016/01/06,0,1,0,0,0,0,0,0,0,1120,오토,보험사보증,"147,826km",없음,없음,없음,있음,있음
38588715,152호9046,카니발 4세대,가솔린,3470cc,2020/11/20,0,0,0,0,0,0,0,0,0,3350,오토,보험사보증,"31,521km",없음,없음,있음 / 렌트,없음,없음
38553622,179도3984,EQ900,가솔린,3778cc,2018/11/05,1,3,0,0,0,0,0,2,1975878,3190,오토,보험사보증,"82,829km",없음,없음,있음 / 렌트,없음,없음
38410329,221소9176,그랜저 IG,가솔린,2359cc,2019/01/29,1,5,0,0,0,0,0,0,0,1570,-,보험사보증,"137,002km",없음,없음,있음 / 렌트,없음,없음
38617845,16고2219,EV6,전기,111cc,2021/09/01,0,2,0,0,0,0,0,0,0,3790,-,보험사보증,"27,785km",없음,없음,없음,없음,없음
38470559,01나0172,더 뉴 모닝,가솔린,998cc,2015/10/01,0,3,0,0,0,3,2027960,2,990980,680,-,보험사보증,"87,525km",없음,없음,없음,없음,없음
38543371,360우3696,벨로스터 (JS),가솔린,1998cc,2019/06/04,2,3,0,0,0,0,0,0,0,1249,-,보험사보증,"90,569km",없음,없음,있음 / 렌트,있음,있음
37405333,45가9135,올란도,디젤,1598cc,2017/01/09,0,1,0,0,0,0,0,0,0,820,-,보험사보증,"130,814km",없음,없음,없음,없음,없음
38619542,50거0616,LF 쏘나타,가스,1999cc,2015/11/18,0,1,0,0,0,1,1169300,1,262504,980,-,자가보증,"99,806km",없음,없음,없음,없음,없음
38464258,332고3817,K8,가솔린,2497cc,2021/04/12,0,3,0,0,0,0,0,0,0,3220,-,보험사보증,"46,484km",없음,없음,없음,없음,없음
37276647,24오5154,코나 일렉트릭,전기,180cc,2020/08/26,0,1,0,0,0,0,0,0,0,2200,-,보험사보증,"54,488km",없음,없음,없음,없음,없음
38463494,178하3791,코나,가솔린,1591cc,2020/09/01,0,0,0,0,0,1,597790,1,765939,1450,-,보험사보증,"66,440km",없음,없음,있음 / 렌트,없음,없음
38254342,85서3009,더 뉴 그랜드 스타렉스,디젤,2497cc,2020/11/23,0,1,0,0,0,0,0,0,0,2100,오토,보험사보증,"32,756km",없음,없음,없음,없음,없음
38204024,244무5405,쏘나타 뉴 라이즈,가스,1999cc,2017/10/18,1,2,0,0,0,0,0,0,0,690,오토,보험사보증,"190,215km",없음,없음,있음 / 렌트,없음,있음
38599369,21머5337,더 뉴 쏘렌토,디젤,2199cc,2019/05/21,0,1,0,0,0,0,0,0,0,2550,-,보험사보증,"65,208km",없음,없음,없음,없음,있음
38638224,321주2518,GV80,가솔린,3470cc,2020/05/04,0,2,0,0,0,1,402589,0,0,5760,오토,보험사보증,"63,616km",없음,없음,없음,없음,없음
38627923,51거9317,트랙스,가솔린,1362cc,2015/06/10,0,1,0,0,0,5,10068618,3,4685097,569,오토,자가보증,"163,008km",없음,없음,없음,없음,있음
37999605,172고9789,LF 쏘나타,디젤,1685cc,2016/02/15,2,7,0,0,0,2,5788400,3,1565554,598,오토,자가보증,"162,003km",없음,없음,있음 / 렌트,있음,있음
38617617,226부8314,베리 뉴 티볼리,가솔린,1497cc,2020/10/23,1,1,0,0,0,0,0,0,0,2500,오토,보험사보증,"112,178km",없음,없음,있음 / 렌트,없음,있음
38581139,16러3107,뉴SM3,가솔린,1598cc,2013/06/12,0,1,0,0,0,4,4738019,2,916530,350,오토,보험사보증,"99,891km",없음,없음,없음,없음,있음
38571113,02우2049,더 뉴 맥스크루즈,가솔린,3342cc,2017/03/24,0,2,0,0,0,1,434210,2,1192227,1800,오토,보험사보증,"94,201km",없음,없음,없음,없음,없음
38327853,174노1249,카니발 4세대,디젤,2151cc,2020/08/28,0,1,0,0,0,1,991674,0,0,4170,오토,자가보증,"45,330km",없음,없음,없음,없음,없음
38595261,50모8941,티볼리,디젤,1597cc,2017/01/23,0,3,0,0,0,2,1421820,0,0,950,오토,보험사보증,"91,001km",없음,없음,없음,없음,있음
38517382,245구2123,쏘나타 하이브리드 (DN8),하이브리드,1999cc,2019/10/18,0,1,0,0,0,0,0,1,572530,2900,오토,자가보증,"22,207km",없음,없음,없음,없음,없음
38337532,62저4288,그랜저 IG,가솔린,2359cc,2017/07/26,0,3,0,0,0,6,4266350,1,646898,1650,-,자가보증,"102,145km",없음,없음,없음,없음,없음
35983722,57로5648,스팅어,가솔린,3342cc,2019/08/19,0,0,0,0,0,1,782346,4,11996530,2399,오토,보험사보증,"76,978km",없음,없음,없음,있음,있음
36768756,38다6309,그랜저 IG,가솔린,2999cc,2019/04/11,0,3,0,0,0,2,6866991,0,0,1850,-,보험사보증,"113,112km",없음,없음,없음,있음,있음
38441684,62무2831,아반떼 MD,가솔린,1591cc,2012/07/11,0,4,0,0,0,2,2330076,0,0,490,오토,자가보증,"87,943km",없음,없음,없음,있음,있음
38416968,252노1282,K5 3세대,가솔린,1999cc,2021/08/02,1,1,0,0,0,0,0,0,0,2030,-,보험사보증,"74,142km",없음,없음,있음 / 렌트,없음,있음
38620093,305고7115,트레일블레이저,가솔린,1341cc,2020/12/04,0,1,0,0,0,3,2522039,1,754909,2130,오토,보험사보증,"36,141km",없음,없음,없음,없음,있음
38605185,28서5321,올 뉴 투싼,디젤,1995cc,2015/04/27,0,2,0,0,0,0,0,0,0,1130,오토,보험사보증,"137,183km",없음,없음,없음,없음,없음
38158031,259두4645,베리 뉴 티볼리,가솔린,1497cc,2019/10/25,0,2,0,0,0,0,0,0,0,1650,오토,보험사보증,"47,758km",없음,없음,없음,없음,없음
38416998,23라1303,올 뉴 모닝,가솔린,998cc,2013/01/24,0,4,0,0,0,1,185238,0,0,999,오토,자가보증,"57,983km",없음,없음,없음,없음,없음
38614952,100수6536,K5 3세대,가솔린,1999cc,2021/04/01,1,2,0,0,0,0,0,0,0,1770,-,보험사보증,"75,174km",없음,없음,없음,없음,없음
37951884,183두1586,GV70,가솔린,2497cc,2022/04/21,0,1,0,0,0,0,0,0,0,5140,오토,보험사보증,"27,047km",없음,없음,없음,없음,없음
37225382,172거3362,더 뉴 카니발,디젤,2199cc,2020/01/17,1,1,0,0,0,1,2064078,1,1195820,1780,-,보험사보증,"93,557km",없음,없음,있음 / 렌트,없음,있음
37996871,127도8114,투싼 (NX4),가솔린,1598cc,2021/03/22,0,1,0,0,0,3,3615406,1,1648905,2830,오토,보험사보증,"35,970km",없음,없음,없음,없음,없음
37830159,13머5519,더 뉴 K5,가스,1999cc,2013/07/30,0,1,0,0,0,4,10258030,4,4338715,430,-,보험사보증,"175,343km",없음,없음,없음,있음,있음
37919694,31누3748,엑센트(신형),가솔린,1591cc,2012/11/08,1,7,0,0,0,3,1188090,3,1698558,350,-,보험사보증,"128,518km",없음,없음,없음,있음,있음
38144708,18머9204,그랜저 HG,가솔린,2359cc,2016/06/01,0,0,0,0,0,4,4976177,1,683589,920,오토,자가보증,"150,064km",없음,없음,없음,있음,없음
37913972,223나5394,아반떼 AD,디젤,1582cc,2016/04/14,1,9,0,0,0,2,1765799,3,1663199,790,-,자가보증,"103,429km",없음,없음,없음,없음,있음
38519219,198다7546,K5 3세대,가솔린,1999cc,2020/01/23,1,2,0,0,0,0,0,0,0,1680,오토,보험사보증,"116,771km",없음,없음,있음 / 렌트,없음,있음
38602337,164다6525,카니발 4세대,가솔린,3470cc,2022/01/21,0,1,0,0,0,1,688621,0,0,3850,오토,보험사보증,"25,787km",없음,없음,없음,없음,없음
38301255,167주4338,더 뉴 그랜저 IG 하이브리드,하이브리드,2359cc,2021/01/12,0,3,0,0,0,2,2692780,2,1077350,2749,-,자가보증,"63,925km",없음,없음,없음,없음,있음
38405026,108로7592,더 뉴 쏘렌토,디젤,1995cc,2019/04/02,1,1,0,0,0,1,1135280,2,7930875,1590,-,보험사보증,"106,775km",없음,없음,있음 / 렌트,있음,있음
38393945,235무7805,K8 하이브리드,하이브리드,1598cc,2021/05/21,0,1,0,0,0,1,726850,0,0,3640,-,보험사보증,"27,881km",없음,없음,없음,없음,없음
38607466,237로1842,카니발 4세대,가솔린,3470cc,2023/07/19,0,0,0,0,0,0,0,0,0,3240,-,보험사보증,"16,812km",없음,없음,없음,없음,없음
38576391,197수5736,더 뉴 카니발,디젤,2199cc,2019/08/20,1,3,0,0,0,1,980472,0,0,2470,-,보험사보증,"104,334km",없음,없음,있음 / 렌트,없음,없음
38195952,388버6904,캐스퍼,가솔린,998cc,2022/10/14,0,2,0,0,0,1,1724151,1,1263000,1690,오토,자가보증,"18,746km",없음,없음,없음,없음,있음
38566083,342수7227,G90,가솔린,3778cc,2019/06/21,1,4,0,0,0,0,0,0,0,3650,-,보험사보증,"109,143km",없음,없음,없음,없음,있음
38633242,194너2837,더 뉴 기아 레이,가솔린,998cc,2023/08/02,0,0,0,0,0,0,0,0,0,1950,-,보험사보증,"6,355km",없음,없음,없음,없음,없음
38320171,21수9622,올란도,가스,1998cc,2017/01/13,0,2,0,0,0,0,0,1,1047950,809,오토,자가보증,"126,929km",없음,없음,없음,없음,있음
38618667,195두1423,더 뉴 그랜저 IG 하이브리드,V005,2359cc,2021/11/09,1,1,0,0,0,0,0,0,0,1799,-,보험사보증,"160,866km",없음,없음,있음 / 렌트,없음,없음
38442521,53거6445,올 뉴 K3,가솔린,1598cc,2019/02/25,0,3,0,0,0,0,0,0,0,1150,오토,보험사보증,"66,591km",없음,없음,없음,없음,없음
