id,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38590498,오토,자가보증,"76,863km",없음,없음,없음,없음,있음
38334680,오토,보험사보증,"72,407km",없음,없음,없음,있음,있음
38209347,-,자가보증,"78,906km",없음,없음,없음,있음,있음
38556552,오토,보험사보증,"157,642km",없음,없음,없음,없음,없음
38336109,-,보험사보증,"7,601km",없음,없음,없음,없음,없음
38566722,-,보험사보증,"57,466km",없음,없음,있음 / 렌트,없음,없음
38036105,-,자가보증,"28,882km",없음,없음,있음 / 렌트,있음,있음
38455122,-,보험사보증,"19,348km",없음,없음,없음,없음,없음
38338626,-,보험사보증,"64,623km",없음,없음,없음,없음,없음
38520461,-,보험사보증,"51,936km",없음,없음,없음,있음,있음
38300509,오토,보험사보증,"137,468km",없음,없음,있음 / 렌트,없음,없음
35822134,-,보험사보증,"119,136km",없음,없음,없음,있음,있음
38617363,오토,보험사보증,"48,397km",없음,없음,없음,있음,있음
38631020,오토,보험사보증,"64,319km",없음,없음,있음 / 렌트,없음,있음
38295824,-,보험사보증,"78,249km",없음,없음,없음,없음,있음
38406649,오토,자가보증,"70,465km",없음,없음,없음,없음,없음
38615639,오토,보험사보증,"79,663km",없음,없음,없음,없음,없음
38617195,-,보험사보증,"91,266km",없음,없음,있음 / 렌트,없음,있음
37362490,-,보험사보증,"141,005km",없음,없음,있음 / 렌트,없음,없음
38222281,-,자가보증,"166,889km",없음,없음,있음 / 렌트,있음,없음
37496888,오토,보험사보증,"121,915km",없음,없음,있음 / 렌트,있음,있음
37849817,오토,보험사보증,"72,529km",없음,없음,없음,있음,있음
38530884,오토,자가보증,"60,357km",없음,없음,없음,없음,없음
37672983,-,보험사보증,"154,257km",없음,없음,없음,없음,있음
38275111,-,자가보증,"66,110km",없음,없음,없음,없음,있음
38545806,-,보험사보증,"34,624km",없음,없음,없음,없음,없음
38627537,오토,보험사보증,"122,124km",없음,없음,없음,없음,있음
35822162,-,보험사보증,"199,040km",없음,없음,있음 / 렌트,없음,있음
38438751,-,보험사보증,"10,617km",없음,없음,없음,있음,있음
38622922,오토,보험사보증,"175,605km",없음,없음,있음 / 렌트,있음,있음
38416514,오토,보험사보증,"104,644km",없음,없음,없음,없음,없음
38356630,-,자가보증,"115,223km",없음,없음,없음,없음,있음
38433524,-,보험사보증,45km,없음,없음,없음,없음,없음
38633499,오토,보험사보증,"19,224km",없음,없음,없음,없음,없음
38609805,오토,자가보증,"136,129km",없음,없음,없음,없음,없음
38573039,오토,보험사보증,"9,282km",없음,없음,없음,없음,없음
37816550,오토,보험사보증,"181,923km",없음,없음,없음,없음,있음
38125649,-,보험사보증,"69,661km",없음,없음,있음 / 렌트,없음,있음
38281282,-,자가보증,"219,301km",있음 / 적법 / 장치,없음,없음,없음,없음
38338863,오토,보험사보증,"85,784km",없음,없음,있음 / 렌트,없음,없음
38570905,-,보험사보증,"75,597km",없음,없음,있음 / 렌트,있음,있음
37513556,오토,보험사보증,"92,462km",없음,없음,없음,없음,없음
38398713,-,보험사보증,"78,928km",없음,없음,없음,없음,없음
38411958,-,자가보증,"244,153km",없음,없음,없음,있음,있음
38062080,오토,보험사보증,"64,279km",없음,없음,있음 / 렌트,없음,있음
38542902,-,보험사보증,"19,194km",없음,없음,없음,없음,없음
38322658,-,자가보증,"122,000km",없음,없음,없음,없음,있음
38447951,-,보험사보증,"125,925km",없음,없음,없음,없음,없음
38599076,-,보험사보증,"138,537km",없음,없음,있음 / 렌트,있음,있음
37701246,-,보험사보증,"75,988km",없음,없음,없음,있음,있음
38371026,오토,보험사보증,"28,911km",없음,없음,없음,없음,없음
38375685,오토,보험사보증,"81,951km",없음,없음,없음,없음,없음
38554275,-,보험사보증,"74,647km",없음,없음,있음 / 렌트,없음,없음
38482119,-,보험사보증,"69,007km",없음,없음,없음,없음,없음
36659758,-,보험사보증,"77,734km",없음,없음,없음,없음,없음
38378465,오토,보험사보증,"82,967km",없음,없음,없음,없음,있음
38217749,-,보험사보증,"68,294km",있음 / 적법,없음,없음,없음,있음
38149710,오토,보험사보증,"50,522km",없음,없음,없음,없음,없음
38567482,-,보험사보증,"24,765km",없음,없음,없음,없음,없음
38613213,-,보험사보증,"8,561km",없음,없음,없음,없음,없음
38627434,-,보험사보증,"135,824km",없음,없음,없음,있음,있음
38344974,-,보험사보증,"162,267km",없음,없음,있음 / 렌트,없음,있음
38596319,오토,보험사보증,"101,307km",없음,없음,없음,없음,없음
38612544,-,보험사보증,"192,860km",없음,없음,없음,있음,있음
38428893,-,보험사보증,"4,166km",없음,없음,없음,없음,없음
38588466,오토,자가보증,"53,194km",없음,없음,없음,있음,있음
37988710,오토,자가보증,"108,085km",없음,없음,없음,없음,있음
38632000,오토,보험사보증,"87,213km",없음,없음,없음,없음,없음
37452338,오토,보험사보증,"37,024km",없음,없음,있음 / 렌트,없음,없음
37101186,-,보험사보증,"153,411km",없음,없음,없음,없음,있음
38590441,-,보험사보증,"25,340km",없음,없음,없음,있음,있음
38616649,오토,자가보증,"17,424km",없음,없음,없음,없음,없음
38461589,-,보험사보증,"105,129km",없음,없음,없음,없음,없음
38509025,-,자가보증,"70,899km",없음,없음,없음,없음,없음
38322935,-,보험사보증,"112,484km",없음,없음,있음 / 영업용,없음,있음
37515797,-,보험사보증,"51,949km",없음,없음,없음,없음,있음
38540821,-,보험사보증,"152,167km",없음,없음,없음,없음,있음
38631455,오토,보험사보증,"23,011km",없음,없음,없음,없음,없음
38415279,-,보험사보증,"38,367km",없음,없음,없음,없음,없음
38570563,오토,보험사보증,"17,511km",없음,없음,있음 / 렌트,없음,있음
37570688,오토,보험사보증,"194,569km",없음,없음,없음,있음,있음
38526632,오토,자가보증,"94,000km",없음,없음,없음,없음,없음
38369844,-,보험사보증,"68,332km",없음,없음,없음,없음,없음
38536810,-,보험사보증,"99,550km",없음,없음,없음,있음,있음
38406691,오토,보험사보증,"156,941km",없음,없음,없음,없음,없음
38480772,-,자가보증,"24,209km",없음,없음,없음,없음,없음
38320286,-,보험사보증,"91,457km",없음,없음,없음,없음,없음
38000723,-,보험사보증,"177,373km",없음,없음,없음,없음,없음
37019431,오토,보험사보증,"117,034km",있음 / 불법,없음,없음,없음,없음
38349404,오토,보험사보증,"87,232km",없음,없음,없음,없음,없음
38142918,-,보험사보증,"138,485km",없음,없음,있음 / 렌트,없음,없음
38632279,-,자가보증,"97,586km",없음,없음,없음,없음,있음
38122289,-,보험사보증,"10,572km",없음,없음,없음,없음,없음
37395428,-,보험사보증,"80,834km",없음,없음,없음,없음,있음
38402359,오토,보험사보증,"159,868km",없음,없음,없음,없음,없음
38486717,-,보험사보증,"137,860km",없음,없음,있음 / 렌트,없음,없음
38561968,-,자가보증,"110,938km",없음,없음,없음,없음,있음
38003208,오토,보험사보증,"144,684km",있음 / 불법 / 구조 / 장치,없음,없음,없음,없음
38633013,-,보험사보증,"197,202km",없음,없음,있음 / 렌트,없음,없음
38451545,오토,보험사보증,"60,216km",없음,없음,있음 / 렌트,없음,없음
38451698,-,보험사보증,"33,655km",없음,없음,있음 / 렌트,없음,없음
38501363,-,자가보증,"14,892km",없음,없음,없음,없음,없음
38216525,오토,보험사보증,"96,436km",없음,없음,없음,있음,있음
38072049,-,자가보증,"130,698km",없음,없음,없음,없음,있음
38508681,-,보험사보증,"9,906km",없음,없음,없음,없음,없음
38039957,-,보험사보증,"175,320km",없음,없음,없음,없음,없음
38238691,오토,보험사보증,"108,221km",없음,없음,있음 / 렌트,없음,있음
38612653,오토,자가보증,"234,052km",없음,없음,없음,있음,있음
38490858,오토,보험사보증,"63,964km",없음,없음,없음,없음,없음
38508073,오토,보험사보증,"57,656km",없음,없음,있음 / 렌트,없음,없음
38340758,오토,자가보증,"76,000km",없음,없음,없음,없음,있음
38597132,-,보험사보증,"89,758km",없음,없음,있음 / 렌트,없음,없음
38443385,오토,보험사보증,"38,354km",없음,없음,없음,없음,없음
38478120,오토,보험사보증,"116,076km",없음,없음,있음 / 렌트,없음,있음
38578330,오토,보험사보증,"40,590km",없음,없음,없음,없음,없음
37718942,오토,보험사보증,"170,890km",없음,없음,있음 / 렌트,없음,있음
38118350,오토,보험사보증,"23,643km",있음 / 적법,없음,없음,없음,없음
38320527,-,보험사보증,"120,201km",없음,없음,없음,없음,없음
38595300,오토,보험사보증,"61,093km",없음,없음,없음,없음,없음
