id,n,nc,oc,tl,fd,tf,cm_num,cm_price,co_num,co_price
38001407,51로6542,0,6,0,0,0,5,2161516,2,803470
38439771,162오1504,0,1,0,0,0,1,1845420,0,0
38483118,334머3931,0,0,0,0,0,0,0,0,0
38174011,322라3649,0,1,0,0,0,0,0,0,0
38257876,07무5454,0,3,0,0,0,3,9471775,0,0
38607745,14보9321,0,1,0,0,0,3,3070575,2,1033120
38452789,257로5828,0,1,0,0,0,0,0,0,0
38618516,152머9711,1,1,0,0,0,0,0,0,0
38287496,104더4891,0,3,0,0,0,0,0,0,0
38444997,254모3850,0,1,0,0,0,1,312799,0,0
38317886,47서0150,0,2,0,0,0,0,0,0,0
38467738,27저4334,0,2,0,0,0,4,2772770,4,3982056
38286928,27마5104,0,3,0,0,0,6,4843609,2,1383619
38245331,231러2970,1,2,0,0,0,2,3034675,1,773399
38316886,60무9325,0,12,0,0,0,2,5579641,0,0
38546333,222소9870,1,1,0,0,0,0,0,0,0
38629577,287소3263,0,3,0,0,0,0,0,0,0
38592798,32구5712,0,0,0,0,0,4,4654281,1,692278
38556516,72라5517,0,1,0,0,0,0,0,0,0
38045025,276어3034,0,0,0,0,0,1,3593033,0,0
38214691,330어1434,0,3,0,0,0,0,0,2,926621
38363978,59저8300,0,2,0,0,0,5,3973640,3,4345188
38458705,156오7184,0,1,0,0,0,1,764500,0,0
38257511,62노4010,0,7,0,0,0,5,3447000,5,6608770
38604642,149로2857,0,0,0,0,0,0,0,0,0
38422490,158라3853,1,6,0,0,0,2,5903700,0,0
38080014,38구0601,0,8,0,0,0,4,6939319,2,1863163
37970486,50너2366,0,4,0,0,0,2,1509759,4,1477042
38579390,50주3150,0,0,0,0,0,3,2106911,2,1179068
38411171,43루0715,0,3,0,0,0,3,11735266,1,4322780
38353938,180오7189,1,1,0,0,0,0,0,0,0
38512305,193무2304,1,2,0,0,0,1,1122720,0,0
37710536,98오1138,0,1,0,0,0,1,505690,0,0
38448190,172구1416,2,4,0,0,0,1,1258969,4,3193180
38572268,120구9549,0,0,0,0,0,6,13995945,0,0
37556650,36조6794,0,0,0,0,0,2,1437844,2,796342
38474417,123러6248,0,0,0,0,0,1,2789730,0,0
38512211,230소5854,1,1,0,0,0,1,536628,1,977959
38597755,73하9196,0,0,0,0,0,1,1579158,0,0
38206658,86버7530,0,0,0,0,0,2,1296126,0,0
38018386,12저0634,0,3,0,0,0,2,1985890,0,0
38487912,116모8129,1,2,0,0,0,7,9190701,2,9159360
38493473,52라7391,0,3,0,0,0,1,1605640,2,1738580
38412314,38러6519,0,3,0,0,0,3,1483067,0,0
37529166,55노0549,0,4,0,0,0,1,357378,2,1467160
38496282,21보8459,0,4,0,0,0,6,3779552,3,1856390
38598997,140호7490,0,0,0,0,0,0,0,0,0
38601636,139무4744,0,1,0,0,0,0,0,0,0
38439792,173머5737,1,1,0,0,0,0,0,0,0
37554989,343다4046,1,2,0,0,0,1,370710,0,0
38039281,321두5497,0,1,0,0,0,2,903513,2,2734445
38352445,354라1218,0,1,0,0,0,1,580119,0,0
38612140,201머5736,0,0,0,0,0,0,0,0,0
38463347,332부5147,0,2,0,0,0,1,1579158,2,576000
38505120,199다4132,1,1,0,0,0,0,0,0,0
38219777,244가9841,1,1,0,0,0,1,2159159,0,0
38468765,103우9484,1,1,0,0,0,0,0,0,0
38264891,187우7175,2,0,0,0,0,1,1803500,1,3273234
